# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168	SRR7947171	SRR7947175	SRR7947187
LTARTDEHYDRA-RXN	0.000211357		2.41051e-05	0.000138371
DTDPGLUCDEHYDRAT-RXN	0.000211154	9.875e-05	0.000353858	0.000339653
TRANS-RXN-236	0.000210575	5.78657e-05	9.30008e-05	0.000184572
COBALAMIN5PSYN-RXN	0.000210203		4.92552e-05	0.000173615
COBALAMINSYN-RXN	0.000210203		4.92552e-05	0.000173615
RXN-19296	0.000210203		4.92552e-05	0.000173615
RXN-19297	0.000210203		4.92552e-05	0.000173615
RXN-19302	0.000210203		4.92552e-05	0.000173615
RXN-19303	0.000210203		4.92552e-05	0.000173615
RXN-19304	0.000210203		4.92552e-05	0.000173615
RXN-19305	0.000210203		4.92552e-05	0.000173615
RXN-19307	0.000210203		4.92552e-05	0.000173615
RXN-19308	0.000210203		4.92552e-05	0.000173615
RXN-19318	0.000210203		4.92552e-05	0.000173615
OROPRIBTRANS-RXN	0.000208849		0.000110038	0.000225787
RXN0-2161	0.000207931	7.10136e-05	9.88226e-05	0.000297789
SERINE--TRNA-LIGASE-RXN	0.000207931	7.10136e-05	9.88226e-05	0.000297789
ADENYLYLSULFKIN-RXN	0.000207843	7.65096e-05	0.00037483	0.000292055
RXN-20789	0.000207435	0.000106893	0.000220084	
UDPNACETYLGLUCOSAMACYLTRANS-RXN	0.000207435	0.000106893	0.000220084	
TRANS-RXN-214	0.000206739	5.25788e-05	0.00036085	0.000113644
3.4.21.105-RXN	0.000206596	8.26198e-05	0.000102047	4.15897e-05
PEPCARBOXYKIN-RXN	0.000205715	0.000228312	0.000231759	0.000251507
MYO-INOSITOL-2-DEHYDROGENASE-RXN	0.000205685	0.000134235	0.00019284	7.66024e-05
ARGSUCCINLYA-RXN	0.000205249	0.000177321	0.000133747	0.000454437
RXN-22	0.000205249	0.000177321	0.000133747	0.000454437
POLYPHOSPHATE-KINASE-RXN	0.00020512		0.000321405	0.000156925
ATPASE-RXN	0.000204375	0.000180086	6.78534e-06	8.72906e-05
NUCLEOSIDE-TRIPHOSPHATASE-RXN	0.000204375	0.000180086	6.78534e-06	8.72906e-05
RXN-12195	0.000204375	0.000180086	6.78534e-06	8.72906e-05
RXN-12196	0.000204375	0.000180086	6.78534e-06	8.72906e-05
PHOSPHASERDECARB-RXN	0.000203984		5.70114e-05	0.000102219
ARABISOM-RXN	0.000203652		0.000179689	0.000390423
NADH-PEROXIDASE-RXN	0.00020266	0.000140602	0.000457338	0.000481344
HOMOCYSTEINE-DESULFHYDRASE-RXN	0.00020137		6.18706e-05	0.000430774
GLYOHMETRANS-RXN	0.000199732	0.000138419	0.000309227	0.000225397
HYDROXYLAMINE-REDUCTASE-RXN	0.000199679	8.08248e-05	0.000119696	0.000321513
AKBLIG-RXN	0.000199541	6.61787e-05	0.000135751	1.50896e-05
GUANPRIBOSYLTRAN-RXN	0.000199366	0.000137308	0.000102361	5.35848e-05
HYPOXANPRIBOSYLTRAN-RXN	0.000199366	0.000137308	0.000102361	5.35848e-05
ALARACECAT-RXN	0.000199249		0.000188349	0.000214995
ASPDECARBOX-RXN	0.00019899	0.000158212	0.000252559	0.000215386
RXN0-1602	0.000198946		0.0001921	0.000108143
RXN0-1603	0.000198946		0.0001921	0.000108143
ASPAMINOTRANS-RXN	0.000198644	0.00021828	0.000177175	3.89931e-05
RXN-11737	0.000198644	0.00021828	0.000177175	3.89931e-05
RXN-13697	0.000198644	0.00021828	0.000177175	3.89931e-05
GLUTAMINE--TRNA-LIGASE-RXN	0.000198266	3.78818e-05	0.000483897	0.000337215
UREA-CARBOXYLASE-RXN	0.000198031	0.000176122	0.000180659	0.000185212
ABC-16-RXN	0.000197745	0.00017497	1.87998e-05	0.000261796
TRANS-RXN0-503	0.000197745	0.00017497	1.87998e-05	0.000261796
TRANS-RXN0-504	0.000197745	0.00017497	1.87998e-05	0.000261796
UROCANATE-HYDRATASE-RXN	0.000197621	4.8294e-05	0.000110092	0.000164603
RXN-982	0.000197403		0.000280802	0.000125772
AICARSYN-RXN	0.000195186	0.00101191	0.000172927	2.47206e-05
AMPSYN-RXN	0.000195186	0.00101191	0.000172927	2.47206e-05
ASPARTATEKIN-RXN	0.000195042	3.64597e-05	0.000120648	0.000169601
OROTPDECARB-RXN	0.00019439	4.77662e-05	0.000174513	3.22172e-05
ASPCARBTRANS-RXN	0.000194289	0.000116581	9.31854e-05	0.000306399
PHOSACETYLTRANS-RXN	0.000193537	3.80053e-05	0.000224171	0.000294316
2.7.1.156-RXN	0.00019327		2.0526e-05	6.04742e-05
COBINAMIDEKIN-RXN	0.00019327		2.0526e-05	6.04742e-05
RXN-14063	0.00019327		2.0526e-05	6.04742e-05
PANTEPADENYLYLTRAN-RXN	0.000191795	7.56816e-05	0.000125966	4.30203e-05
QOR-RXN	0.00019077		0.000113604	0.000504271
RXN-15513	0.000190401	0.000172542	0.00021587	3.89797e-05
EXOPOLYPHOSPHATASE-RXN	0.000190044	5.06738e-05	0.000202394	7.53926e-05
RXN-12093	0.000189787		8.05977e-05	
HOMOCYSMETB12-RXN	0.000189583	5.81779e-05	0.000275236	0.000298822
3.4.11.4-RXN	0.000189173	0.000122309	0.000188858	0.000135857
4.2.99.18-RXN	0.000188815		0.000225694	0.000179678
RXN-11638	0.000188694	0.000296734	0.000176311	0.000346762
METHYLENETHFDEHYDROG-NADP-RXN	0.000187867		0.00013794	0.000114524
ANTHRANSYN-RXN	0.000187686	0.000249616	0.000199352	0.000106885
1.5.1.20-RXN	0.000186827		0.000164882	0.000140811
5-NUCLEOTID-RXN	0.000186332	0.000249022	0.000206592	0.00060273
AMP-DEPHOSPHORYLATION-RXN	0.000186332	0.000249022	0.000206592	0.00060273
RXN-14025	0.000186332	0.000249022	0.000206592	0.00060273
RXN-14227	0.000186332	0.000249022	0.000206592	0.00060273
RXN-5841	0.000186332	0.000249022	0.000206592	0.00060273
RXN-7609	0.000186332	0.000249022	0.000206592	0.00060273
XMPXAN-RXN	0.000186332	0.000249022	0.000206592	0.00060273
CHOLOYLGLYCINE-HYDROLASE-RXN	0.000185178		4.41084e-05	3.67465e-05
RXN-17388	0.000185178		4.41084e-05	3.67465e-05
ISPH2-RXN	0.00018473	5.81779e-05	0.000145411	0.000110531
RXN0-884	0.00018473	5.81779e-05	0.000145411	0.000110531
RXN0-11	0.000184634	2.58234e-05	0.000237509	0.000373441
ACETYL-COA-CARBOXYLTRANSFER-RXN	0.000183325	0.000351887	5.60106e-05	0.000262313
RXN-15041	0.000183053	0.000215826	0.000339519	
RXN-19726	0.000183053	0.000215826	0.000339519	
RXN-19727	0.000183053	0.000215826	0.000339519	
RXN-19728	0.000183053	0.000215826	0.000339519	
RXN-19729	0.000183053	0.000215826	0.000339519	
RXN0-6366	0.000182844	6.03207e-05	0.000170593	6.90998e-05
PEPDEPHOS-RXN	0.000182383	7.64138e-05	0.000150345	0.000395443
RXN-14117	0.000182383	7.64138e-05	0.000150345	0.000395443
RXN-14192	0.000182383	7.64138e-05	0.000150345	0.000395443
RXN-14207	0.000182383	7.64138e-05	0.000150345	0.000395443
3-DEHYDROQUINATE-SYNTHASE-RXN	0.000182346	0.000350773	7.76199e-05	9.25403e-05
RXN-12458	0.000179906	0.000244874	0.000190345	0.000161996
RXN-14517	0.000179906	0.000244874	0.000190345	0.000161996
RIBULP3EPIM-RXN	0.000179459	0.000108513	0.000100108	0.000295062
UDPGLCNACEPIM-RXN	0.0001794	0.000158499	1.06934e-05	7.64115e-05
UGD-RXN	0.000179013		0.000134354	0.000204086
TRANS-RXN-276	0.000178003	0.00014024	0.000118277	0.000210233
HISTAMINOTRANS-RXN	0.000176959	8.91189e-05	0.000157739	9.03296e-05
ENOYL-COA-HYDRAT-RXN	0.000176369	4.8495e-05	0.000168876	7.832e-05
METHYLACYLYLCOA-HYDROXY-RXN	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-12567	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-13616	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-14266	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-14272	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-14273	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-16135	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-16558	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17114	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17475	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17776	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17780	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17785	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17789	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17793	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-17797	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-20675	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-20678	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21223	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21755	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21759	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21766	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21779	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21780	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-21781	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN-2425	0.000176369	4.8495e-05	0.000168876	7.832e-05
RXN0-5393	0.000176369	4.8495e-05	0.000168876	7.832e-05
TIGLYLCOA-HYDROXY-RXN	0.000176369	4.8495e-05	0.000168876	7.832e-05
ALDOSE-1-EPIMERASE-RXN	0.000175903	7.96467e-05	0.000195582	0.000149666
ALDOSE1EPIM-RXN	0.000175903	7.96467e-05	0.000195582	0.000149666
THYMIDYLATESYN-RXN	0.000173008	0.000109419	0.000296565	9.56927e-05
ASPARTATE--TRNA-LIGASE-RXN	0.000172177	0.000189433	0.000227301	0.000453938
NAD-KIN-RXN	0.000171821	0.000108156	0.000146691	0.00032516
UDPNACETYLMURAMATEDEHYDROG-RXN	0.000171794	0.000107824	0.00020823	3.09897e-05
3.1.21.3-RXN	0.000171774	9.90582e-05	0.00034911	0.000169466
TYROSINE--TRNA-LIGASE-RXN	0.000171247	0.000285535	0.000253128	7.02368e-05
METHENYLTHFCYCLOHYDRO-RXN	0.000171098		0.000200059	0.000186458
3.1.3.16-RXN	0.000170324	5.13434e-05	0.000173524	0.000548978
DIAMACTRANS-RXN	0.000169864		8.22348e-05	3.52179e-05
RXN-0	0.000169864		8.22348e-05	3.52179e-05
RXN-19536	0.000169864		8.22348e-05	3.52179e-05
RXN-9939	0.000169864		8.22348e-05	3.52179e-05
RXN0-7165	0.000169864		8.22348e-05	3.52179e-05
SPERMACTRAN-RXN	0.000169864		8.22348e-05	3.52179e-05
RIBOKIN-RXN	0.000169632	0.000262266	0.000155426	0.00021413
SUPEROX-DISMUT-RXN	0.000167903	0.000147531	0.000210269	0.000131907
2.7.1.148-RXN	0.000167596	0.000262525	0.000181749	0.000226311
RXN-14014	0.000167196		0.000100924	4.03162e-05
2.3.1.179-RXN	0.000167023		0.000195668	0.000161402
RXN-21617	0.000167023		0.000195668	0.000161402
RXN-21621	0.000167023		0.000195668	0.000161402
RXN-21625	0.000167023		0.000195668	0.000161402
RXN-21629	0.000167023		0.000195668	0.000161402
RXN-21634	0.000167023		0.000195668	0.000161402
RXN-21649	0.000167023		0.000195668	0.000161402
RXN-21654	0.000167023		0.000195668	0.000161402
RXN-21659	0.000167023		0.000195668	0.000161402
RXN-21664	0.000167023		0.000195668	0.000161402
RXN-21669	0.000167023		0.000195668	0.000161402
RXN-21680	0.000167023		0.000195668	0.000161402
RXN-21685	0.000167023		0.000195668	0.000161402
RXN-21690	0.000167023		0.000195668	0.000161402
RXN-21695	0.000167023		0.000195668	0.000161402
RXN-21701	0.000167023		0.000195668	0.000161402
RXN-8391	0.000167023		0.000195668	0.000161402
ARGDECARBOX-RXN	0.000166675	2.21297e-05	0.000124296	0.000188718
OROTATE-REDUCTASE-NADH-RXN	0.000165761		0.000103025	0.000127701
H2PTEROATESYNTH-RXN	0.000165548	4.55866e-05	0.000130946	0.000136984
PDXJ-RXN	0.000165339		0.000176179	6.84296e-05
ACSERLY-RXN	0.000164796	0.000139669	0.00028809	0.00018748
RXN-12726	0.000164796	0.000139669	0.00028809	0.00018748
RXN-11586	0.000164702	0.000173535	0.000253538	0.000623418
RXN-11578	0.000164601		0.000163707	0.000448582
KDO-8PSYNTH-RXN	0.000164465		0.000273475	
LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN	0.000163609		6.15112e-05	
UDP-NACMURALGLDAPLIG-RXN	0.000163316	4.71225e-05	0.000233872	0.000263318
GLUTSEMIALDEHYDROG-RXN	0.000163264		0.000203959	0.000242326
TRANS-RXN-2	0.000163128	0.000155227	0.000221151	0.000371692
ISOLEUCINE--TRNA-LIGASE-RXN	0.000162866	2.31096e-05	0.000358125	0.000122449
3.2.1.55-RXN	0.000162819	6.27917e-05	0.000313183	0.000199912
RXN-19757	0.000162819	6.27917e-05	0.000313183	0.000199912
RXN-19758	0.000162819	6.27917e-05	0.000313183	0.000199912
RXN-19769	0.000162819	6.27917e-05	0.000313183	0.000199912
RIBULPEPIM-RXN	0.000162717	0.000237072	0.000100145	0.000239512
2.4.1.212-RXN	0.00016221	0.000147446	0.000180119	6.44901e-05
RXN-11627	0.00016221	0.000147446	0.000180119	6.44901e-05
AIRS-RXN	0.000162208	0.000119249	0.000307346	0.000418726
DIHYDRODIPICSYN-RXN	0.000161935	3.98687e-05	8.55787e-05	0.000104028
XANPRIBOSYLTRAN-RXN	0.000161797	0.00014938	0.000119987	0.000540344
L-LACTATE-DEHYDROGENASE-RXN	0.000161713		2.4141e-05	0.000314748
RXN-7572	0.000161713		2.4141e-05	0.000314748
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	0.000161713		0.000139854	0.000116688
RXN0-20	0.000161549		0.000154295	8.54183e-05
ADPREDUCT-RXN	0.000161138	1.7588e-05	0.00013584	0.000250302
CDPREDUCT-RXN	0.000161138	1.7588e-05	0.00013584	0.000250302
GDPREDUCT-RXN	0.000161138	1.7588e-05	0.00013584	0.000250302
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	0.000161138	1.7588e-05	0.00013584	0.000250302
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	0.000161138	1.7588e-05	0.00013584	0.000250302
RXN0-722	0.000161138	1.7588e-05	0.00013584	0.000250302
RXN0-747	0.000161138	1.7588e-05	0.00013584	0.000250302
RXN0-748	0.000161138	1.7588e-05	0.00013584	0.000250302
UDPREDUCT-RXN	0.000161138	1.7588e-05	0.00013584	0.000250302
GLUTKIN-RXN	0.000160882	3.39136e-05	4.92456e-05	0.00032383
PYRUVATE-CARBOXYLASE-RXN	0.000160646	5.52055e-05	6.83392e-05	9.60561e-05
ALANINE-DEHYDROGENASE-RXN	0.000159717		0.000170561	0.000174172
PANTOTHENATE-KIN-RXN	0.000159522	5.76028e-05	0.000226207	0.000272911
DAHPSYN-RXN	0.0001595	0.000279719	7.40648e-05	0.000340084
3.2.1.3-RXN	0.000159243	1.68343e-05	0.000130533	2.27124e-05
RXN-9024	0.000159243	1.68343e-05	0.000130533	2.27124e-05
RXN0-6575	0.000159045		4.90979e-05	8.07417e-05
GALACTOKIN-RXN	0.000158235	0.000192939	7.8013e-05	0.000279687
3.2.1.8-RXN	0.000157216		0.000171611	0.000149422
ACETOLACTREDUCTOISOM-RXN	0.000157055	3.83377e-05	0.000155522	0.000187559
ACETOOHBUTREDUCTOISOM-RXN	0.000157055	3.83377e-05	0.000155522	0.000187559
GLYOXI-RXN	0.000156737		0.000165149	0.000335584
PYRUVATE-DEHYDROGENASE-NADP+-RXN	0.000156126		0.000137941	0.000108236
RXN-14570	0.000156059	0.00029395	0.000154877	0.00025253
ABC-56-RXN	0.000155896		0.000118005	0.000229252
F16BDEPHOS-RXN	0.000155865	0.000138858	0.000163643	0.000317933
PRTRANS-RXN	0.000155667		0.000136223	0.000183935
HISTPRATPHYD-RXN	0.000155505	0.000176845	0.000259752	0.00022265
RXN0-743	0.000155166	8.05852e-05	0.000228895	0.00013366
PMPOXI-RXN	0.000155104		2.05628e-05	4.87695e-05
PNPOXI-RXN	0.000155104		2.05628e-05	4.87695e-05
DIACYLGLYKIN-RXN	0.000154742	0.0011291	4.12088e-05	0.000128279
DIAMINOPIMEPIM-RXN	0.000154693	0.000121549	0.000120008	0.000320628
FUCISOM-RXN	0.000154501	0.000158215	7.55211e-05	0.000481667
ARGSUCCINSYN-RXN	0.000154237	0.000349592	0.000299224	0.00047947
RXN-10	0.000154237	0.000349592	0.000299224	0.00047947
ORNCARBAMTRANSFER-RXN	0.000153453	0.00011365	0.000196593	0.000405177
RXN-13482	0.000153453	0.00011365	0.000196593	0.000405177
RXN-14047	0.000153357	1.74041e-05	7.81502e-05	0.000185834
ADENPHOSPHOR-RXN	0.000153204		0.00013811	0.000480138
DEOXYADENPHOSPHOR-RXN	0.000153204		0.00013811	0.000480138
DEOXYGUANPHOSPHOR-RXN	0.000153204		0.00013811	0.000480138
DEOXYINOPHOSPHOR-RXN	0.000153204		0.00013811	0.000480138
INOPHOSPHOR-RXN	0.000153204		0.00013811	0.000480138
PNP-RXN	0.000153204		0.00013811	0.000480138
RXN-11715	0.000153204		0.00013811	0.000480138
RXN-11743	0.000153204		0.00013811	0.000480138
RXN-14029	0.000153204		0.00013811	0.000480138
RXN-7001	0.000153204		0.00013811	0.000480138
XANTHOSINEPHOSPHORY-RXN	0.000153204		0.00013811	0.000480138
RXN-11637	0.000153165	0.000309891	0.000235255	0.000142486
2-OXOGLUTARATE-SYNTHASE-RXN	0.00015305		0.000140653	
GLUTAMINESYN-RXN	0.000152875	0.000115397	0.000255285	0.000229877
3.2.1.73-RXN	0.000151613		0.000235641	
SERINE-O-ACETTRAN-RXN	0.000151526		0.000254326	9.24663e-05
DARAB5PISOM-RXN	0.000151112	6.17213e-05	0.000120016	
3.2.1.37-RXN	0.00015041	5.00475e-05	0.000186275	0.000125171
PHOSPHAGLYPSYN-RXN	0.000149925		0.000155869	0.000123459
1.1.1.274-RXN	0.000149616	4.71861e-05	0.000118427	0.000445825
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	0.000148937	8.97075e-05	0.000277386	0.000113015
4.2.1.58-RXN	0.000148937	8.97075e-05	0.000277386	0.000113015
4.2.1.59-RXN	0.000148937	8.97075e-05	0.000277386	0.000113015
4.2.1.61-RXN	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-10656	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-10660	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-11477	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-11481	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-13009	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-16619	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-16623	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-16627	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-16631	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21615	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21619	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21623	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21627	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21632	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21636	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21646	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21651	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21656	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21661	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21666	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21671	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21677	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21682	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21687	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21692	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21698	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-21703	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-9520	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-9533	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-9537	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-9557	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-9634	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN-9655	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN0-2144	0.000148937	8.97075e-05	0.000277386	0.000113015
RXN1G-320	0.000148937	8.97075e-05	0.000277386	0.000113015
3.4.11.9-RXN	0.000148684		0.000246559	0.000130451
DARABALDOL-RXN	0.000147687	5.05273e-05	1.87484e-05	0.000263917
FUCPALDOL-RXN	0.000147687	5.05273e-05	1.87484e-05	0.000263917
3.4.11.18-RXN	0.000147519	4.05625e-05	0.000267753	0.000352176
RXN-17873	0.000147519	4.05625e-05	0.000267753	0.000352176
RXN-17874	0.000147519	4.05625e-05	0.000267753	0.000352176
RXN-17875	0.000147519	4.05625e-05	0.000267753	0.000352176
RXN-17876	0.000147519	4.05625e-05	0.000267753	0.000352176
RXN-17877	0.000147519	4.05625e-05	0.000267753	0.000352176
RXN-17878	0.000147519	4.05625e-05	0.000267753	0.000352176
GLUTAMATESYN-RXN	0.000147066	0.000221211	0.000223933	0.000130807
RXN-11602	0.000146538	0.000124558	0.000103068	9.06133e-05
RXN0-5359	0.000145427	0.000211101	6.75413e-05	0.000475401
TRANS-RXN-332	0.000145306	0.000170882	5.64032e-05	0.000158971
DLACTDEHYDROGNAD-RXN	0.000145254	0.000151363	0.000154122	0.00011088
GLUTRNAREDUCT-RXN	0.000143756	0.000196652	0.000222384	0.000138744
CDPDIGLYSYN-RXN	0.000143479	4.89019e-05	0.000153843	8.54629e-05
RXN-20524	0.000143479	4.89019e-05	0.000153843	8.54629e-05
RXN0-5515	0.000143479	4.89019e-05	0.000153843	8.54629e-05
RXN-19792	0.000143291		0.000130844	
RXN-2103	0.000143291		0.000130844	
DTDPDEHYDRHAMEPIM-RXN	0.000143032	0.000225043	0.000113798	0.000143536
RXN-8890	0.000141684			
RXN0-1321	0.000141138	0.000322318	0.000231261	0.000239475
COBINPGUANYLYLTRANS-RXN	0.000141007		2.0526e-05	6.04742e-05
GLUCISOM-RXN	0.000140478	0.000124349	2.75013e-05	
XYLISOM-RXN	0.000140478	0.000124349	2.75013e-05	
3.2.1.1-RXN	0.000140452		0.000178836	2.66797e-05
ALPHA-AMYL-RXN	0.000140452		0.000178836	2.66797e-05
RXN-1823	0.000140452		0.000178836	2.66797e-05
RXN0-5181	0.000140452		0.000178836	2.66797e-05
RXN-14569	0.000140273		0.000159318	5.95328e-05
1.6.4.4-RXN	0.000140097	0.000211362	8.81879e-05	0.000253963
1.12.1.3-RXN	0.000139712	9.47558e-05	8.22128e-05	0.000101275
RXN-18388	0.000138902		0.000183106	0.000329031
RXN-10819	0.000138781		0.000118758	
3.2.1.96-RXN	0.000138543	2.49215e-05	5.67045e-05	3.53218e-05
RXN-19040	0.000138367	0.000122684	0.000206672	0.000178446
RXN0-6359	0.000138367	0.000122684	0.000206672	0.000178446
THIOSULFATE-SULFURTRANSFERASE-RXN	0.000138367	0.000122684	0.000206672	0.000178446
RXN0-5306	0.000138347			
FPPSYN-RXN	0.000138016	9.50025e-05	9.75498e-05	8.67539e-05
IPPISOM-RXN	0.00013748		4.20328e-05	0.000172271
DEPHOSPHOCOAKIN-RXN	0.000137288	6.92374e-05	9.02022e-05	9.00483e-05
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	0.000137123		1.38911e-05	0.000240244
LIPIDADISACCHARIDESYNTH-RXN	0.000136918		6.40562e-05	2.61308e-05
RXN-20785	0.000136918		6.40562e-05	2.61308e-05
RXN-14992	0.000136752	2.06283e-05	0.000113951	5.02763e-05
THIOREDOXIN-REDUCT-NADPH-RXN	0.000136732	0.000114275	0.000186185	0.00029549
ACYLPHOSPHATASE-RXN	0.000136499		0.00035955	0.000726222
CARBAMATE-KINASE-RXN	0.000136415	0.000138708	6.84367e-05	0.000411299
1TRANSKETO-RXN	0.000136046	0.000195335	0.000179166	0.000554335
2TRANSKETO-RXN	0.000136046	0.000195335	0.000179166	0.000554335
5.1.3.9-RXN	0.000135984		1.79282e-05	0.00010799
NANE-RXN	0.000135984		1.79282e-05	0.00010799
DIOHBUTANONEPSYN-RXN	0.0001358	0.000195594	0.000356994	0.000293459
3.1.26.11-RXN	0.000135436	0.000133048	0.000295515	0.00035468
RXN-15025	0.000135135		0.00013901	0.000215274
RXN0-7078	0.000135135		0.00013901	0.000215274
RXN-1961	0.00013508	0.000237686	0.000245295	0.000249234
SUCCCOASYN-RXN	0.000134964	4.19243e-05	1.88809e-05	0.000148559
RXN-9591	0.000134866		0.000123121	9.3511e-05
GLYCEROL-KIN-RXN	0.000134616	0.000157487	0.000321433	0.000299175
SUGAR-PHOSPHATASE-RXN	0.000133612		0.000125218	
3.4.21.107-RXN	0.000133252	8.52072e-05	0.000132871	0.000263508
UDPMANNACADEHYDROG-RXN	0.000133222		0.000131219	0.000205572
PSERTRANSAM-RXN	0.000133199	6.74998e-05	0.000271797	0.000433508
PSERTRANSAMPYR-RXN	0.000133199	6.74998e-05	0.000271797	0.000433508
2.1.3.1-RXN	0.000132959	5.52055e-05	4.95881e-05	5.30187e-05
METHGLYSYN-RXN	0.000132919		0.000246335	5.03952e-05
LINOLENOYL-RXN	0.00013277	1.98664e-05	0.000159903	1.9726e-05
R223-RXN	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-12184	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-12978	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-13290	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-13614	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-16380	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-16389	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-16393	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-16401	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-16402	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-16418	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-19751	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-19960	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-20651	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21443	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21445	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21446	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21447	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21448	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21449	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-21450	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-7904	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-9623	0.00013277	1.98664e-05	0.000159903	1.9726e-05
RXN-9644	0.00013277	1.98664e-05	0.000159903	1.9726e-05
