name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Succinivibrio dextrinosolvens	83771	S	12	0	12	0.00002
Thioalkalivibrio versutus	106634	S	15	7	22	0.00004
Guyparkeria halophila	47960	S	10	2	12	0.00002
Thiohalobacter sp. COW1	2795687	S	15	2	17	0.00003
Agrobacterium tumefaciens	358	S	18	143	161	0.00033
Rhodopseudomonas palustris	1076	S	14	53	67	0.00014
uncultured Cohaesibacter sp.	1002546	S	30	83	113	0.00023
Azospirillum sp. TSH100	652764	S	10	51	61	0.00012
Turicimonas muris	1796652	S	292	103	395	0.00080
Sutterella faecalis	2584944	S	15	3	18	0.00004
Sutterella wadsworthensis	40545	S	12	2	14	0.00003
Sutterella megalosphaeroides	2494234	S	12	5	17	0.00003
Duodenibacillus massiliensis	1852381	S	20	4	24	0.00005
Variovorax paradoxus	34073	S	24	99	123	0.00025
Duganella zoogloeoides	75659	S	10	32	42	0.00008
uncultured Pseudodesulfovibrio sp.	2035858	S	15	7	22	0.00004
Desulfovibrio desulfuricans	876	S	19	7	26	0.00005
Desulfovibrio piger	901	S	18	7	25	0.00005
Nitratidesulfovibrio vulgaris	881	S	15	6	21	0.00004
Maridesulfovibrio sp.	2795000	S	10	3	13	0.00003
Salidesulfovibrio onnuriiensis	2583823	S	12	3	15	0.00003
uncultured Desulfuromonas sp.	181013	S	11	10	21	0.00004
uncultured Desulfosarcina sp.	218289	S	12	10	22	0.00004
uncultured Desulfobacter sp.	240139	S	18	5	23	0.00005
uncultured Desulfobulbus sp.	239745	S	12	2	14	0.00003
Akkermansia muciniphila	239935	S	124	15	139	0.00028
Treponema brennaborense	81028	S	21	2	23	0.00005
Treponema peruense	2787628	S	15	12	27	0.00005
Treponema succinifaciens	167	S	12	11	23	0.00005
Treponema parvum	138851	S	11	9	20	0.00004
Brucepastera parasyntrophica	2880008	S	10	0	10	0.00002
uncultured Sphaerochaeta sp.	886478	S	24	2	26	0.00005
Helicobacter pylori	210	S	12	9	21	0.00004
Fusobacterium mortiferum	850	S	13	51	64	0.00013
uncultured Ilyobacter sp.	544433	S	10	0	10	0.00002
Leptotrichia trevisanii	109328	S	13	11	24	0.00005
Cystobacter fuscus	43	S	13	11	24	0.00005
Sorangium cellulosum	56	S	13	8	21	0.00004
Edaphobacter lichenicola	2051959	S	10	3	13	0.00003
Candidatus Koribacter versatilis	658062	S	14	0	14	0.00003
Pyramidobacter piscolens	638849	S	23	12	35	0.00007
Pyramidobacter sp. YE332	3068894	S	13	6	19	0.00004
Fretibacterium fastidiosum	651822	S	13	0	13	0.00003
Homo sapiens	9606	S	28212	829	29041	0.05866
Toutatisvirus toutatis	2734150	S	44	143	187	0.00038
